section;article_id;title;authors;pages;url
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665619;ЗАДАЧА УПРАВЛЕНИЯ МНОГОСВЯЗНОЙ ПРОИЗВОДСТВЕННОЙ СИСТЕМОЙ С ИСПОЛЬЗОВАНИЕМ ПРИНЦИПОВ БЕРЕЖЛИВОГО ПРОИЗВОДСТВА;Муромцев Д.Ю., Дмитриевский Б.С., Терехова А.А., Третьяков А.А., Елизаров И.А., Назаров В.Н.;6-16;https://elibrary.ru/item.asp?id=65665619
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665620;ФОРМАЛИЗАЦИЯ ЗАДАЧИ И РАЗРАБОТКА АЛГОРИТМА ВЫБОРА МЕТОДА НОРМАЛИЗАЦИИ ДАННЫХ ДЛЯ ПРИНЯТИЯ РЕШЕНИЙ;Соловьев Д.С.;17-27;https://elibrary.ru/item.asp?id=65665620
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665621;A FUZZY CONTROL MODEL OF AN INTELLIGENT INFORMATION-MEASURING AND CONTROL SYSTEM OF A DRUM DRYING UNIT;Artemova S.V., Kamenskaya M.A., Karasev P.I., Ershov N.S., Vu T.Ch., Domornikova A.A.;28-41;https://elibrary.ru/item.asp?id=65665621
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665622;К ВОПРОСУ ФОРМАЛИЗАЦИИ ФУНКЦИОНИРОВАНИЯ СЛОЖНЫХ СИСТЕМ РАСПОЗНАВАНИЯ ОБРАЗОВ;Глазкова И.А., Ивановский М.А., Эль Эиссави Б.Х.М.;42-52;https://elibrary.ru/item.asp?id=65665622
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665623;ИНФОРМАЦИОННАЯ ПОДДЕРЖКА ПРИНЯТИЯ РЕШЕНИЙ ПО ВЫБОРУ ВИДА ПОГРУЖНОГО БАРАБАНА В УСТАНОВКЕ ГАЛЬВАНИЧЕСКОГО ПОКРЫТИЯ ДЕТАЛЕЙ В НАСЫПНОМ ВИДЕ;Матрохин М.А., Немтинов В.А., Егоров С.Я.;53-65;https://elibrary.ru/item.asp?id=65665623
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665624;МОДЕЛИРОВАНИЕ ПАРАМЕТРОВ РАБОТЫ АВТОМАТИЗИРОВАННОЙ СИСТЕМЫ КОНТРОЛЯ ПРИЗНАКОВ КОНТАМИНАЦИИ АГРОКУЛЬТУР В УСЛОВИЯХ КЛОНАЛЬНОГО РАЗМНОЖЕНИЯ МЕТОДАМИ ЦИФРОВОЙ ЦВЕТОМЕТРИИ;Лебедь Н.И., Токарев К.Е., Гапич Д.С.;66-75;https://elibrary.ru/item.asp?id=65665624
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665625;АЛГОРИТМЫ ОЦЕНКИ ЭФФЕКТИВНОСТИ ФУНКЦИОНИРОВАНИЯ ИНФОРМАЦИОННОЙ СИСТЕМЫ И ЕЕ ЭЛЕМЕНТОВ НА ОСНОВЕ ПРИНЦИПА ДЕКОМПОЗИЦИИ;Глазкова И.А., Ивановский М.А., Куприянова С.С., Эль Эиссави Б.Х.М.;76-84;https://elibrary.ru/item.asp?id=65665625
АВТОМАТИКА. ИНФОРМАТИКА. УПРАВЛЕНИЕ. ПРИБОРЫ;65665626;БИОТЕХНИЧЕСКАЯ СИСТЕМА ДЛЯ ВЫРАЩИВАНИЯ РАСТЕНИЙ;Фролов С.В., Фролова Т.А., Лычагина В.О., Трушин Д.И., Шаталова И.А., Ширкина Е.С., Юрлов С.И., Яркин О.А.;85-94;https://elibrary.ru/item.asp?id=65665626
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;65665627;МОДЕЛИРОВАНИЕ СМЕШЕНИЯ СЫПУЧИХ КОМПОНЕНТОВ В РОТАЦИОННОМ АППАРАТЕ НА ПЛАТФОРМЕ КИБЕР-ФИЗИЧЕСКИХ СИСТЕМ;Капранова А.Б., Бахаева Д.Д., Стенько Д.В., Верлока И.И.;95-107;https://elibrary.ru/item.asp?id=65665627
ПРОЦЕССЫ И АППАРАТЫ ХИМИЧЕСКИХ И ДРУГИХ ПРОИЗВОДСТВ. ХИМИЯ;65665628;МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ПРОЦЕССА ЭКСФОЛИАЦИИ ГРАФИТА В СТЕРЖНЕВОЙ БАРАБАННОЙ МЕЛЬНИЦЕ;Альдавуд С.С.Ю., Баранов А.А., Першин В.Ф.;108-121;https://elibrary.ru/item.asp?id=65665628
